song,performer,date,chart_position,previous_position,peak,weeks_on_chart,hitTF
Down To The Honkytonk,Jake Owen,2019-01-12,80,0,80,1,1
Jumpin On A Jet,Future,2019-01-26,80,0,80,1,1
Huncho Jack,Huncho Jack,2018-01-06,87,0,87,1,1
Emoji A Chain,Migos,2018-02-10,87,0,87,1,1
Ocean,TK Kravitz Featuring Jacqueez,2018-07-28,87,0,87,1,1
Lean Wit Me,Juice WRLD,2018-08-18,87,0,87,1,1
Goodnight N Go,Ariana Grande,2018-09-01,87,0,87,1,1
Girls Need Love,Summer Walker X Drake,2019-03-09,87,0,87,1,1
Call Out My Name,The Weeknd,2018-06-02,30,32,4,8,1
Bandit,Juice WRLD & YoungBoy Never Broke Again,2019-12-07,30,28,10,8,1
Sweet But Psycho,Ava Max,2019-02-16,30,32,30,8,1
Act Up,City Girls,2019-05-04,30,36,30,8,1
Sad!,XXXTENTACION,2018-05-05,31,22,7,8,1
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2019-01-19,31,33,31,8,1
Outside Today,YoungBoy Never Broke Again,2018-03-17,31,35,31,8,1
Say Something,Justin Timberlake Featuring Chris Stapleton,2018-03-31,32,26,9,8,1
Baby,Lil Baby & DaBaby,2019-09-21,32,26,24,8,1
All Girls Are The Same,Juice WRLD,2018-07-14,60,42,41,8,1
Rubbin Off The Paint,YBN Nahmir,2018-01-13,60,59,46,8,1
STOOPID,6ix9ine Featuring Bobby Shmurda,2018-12-08,61,85,25,8,1
223's,YNW Melly & 9lokknine,2019-11-09,61,45,34,8,1
KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",2018-01-27,64,0,64,1,1
Lost In Japan,Shawn Mendes X Zedd,2018-04-07,64,0,64,1,1
Head Above Water,Avril Lavigne,2018-10-06,64,0,64,1,1
Mac 10,Trippie Redd Featuring Lil Baby & Lil Duke,2019-08-24,64,0,64,1,1
Kinfolks,Sam Hunt,2019-10-26,64,0,64,1,1
Eye 2 Eye,Huncho Jack Featuring Takeoff,2018-01-06,65,0,65,1,1
Infrared,Pusha T,2018-06-09,65,0,65,1,1
Legends,Juice WRLD,2018-07-07,65,0,65,1,1
Nice Guy,Eminem & Jessie Reyez,2018-09-15,65,0,65,1,1
Never Stop,Future,2019-02-02,65,0,65,1,1
How Did I Get Here,Offset Featuring J. Cole,2019-03-09,65,0,65,1,1
Maze,Juice WRLD,2019-03-23,65,0,65,1,1
