,song,performer,date,chart_position,previous_position,peak,weeks_on_chart,instance,songID,url
13987,Sum 2 Prove,Lil Baby,2020-03-21,52,0,0,0,0,Sum 2 ProveLil Baby,https://www.billboard.com/charts/hot-100/2020-03-21
13988,Blueberry Faygo,Lil Mosey,2020-03-21,53,0,0,0,0,Blueberry FaygoLil Mosey,https://www.billboard.com/charts/hot-100/2020-03-21
13989,La Dificil,Bad Bunny,2020-03-21,54,0,0,0,0,La DificilBad Bunny,https://www.billboard.com/charts/hot-100/2020-03-21
13990,Dior,Pop Smoke,2020-03-21,55,0,0,0,0,DiorPop Smoke,https://www.billboard.com/charts/hot-100/2020-03-21
13991,Si Veo A Tu Mama,Bad Bunny,2020-03-21,56,0,0,0,0,Si Veo A Tu MamaBad Bunny,https://www.billboard.com/charts/hot-100/2020-03-21
13992,Heatin Up,Lil Baby & Gunna,2020-03-21,57,0,0,0,0,Heatin UpLil Baby & Gunna,https://www.billboard.com/charts/hot-100/2020-03-21
13993,Heart On Ice,Rod Wave,2020-03-21,58,0,0,0,0,Heart On IceRod Wave,https://www.billboard.com/charts/hot-100/2020-03-21
13994,B.I.T.C.H.,Megan Thee Stallion,2020-03-21,59,0,0,0,0,B.I.T.C.H.Megan Thee Stallion,https://www.billboard.com/charts/hot-100/2020-03-21
13995,Homemade,Jake Owen,2020-03-21,60,0,0,0,0,HomemadeJake Owen,https://www.billboard.com/charts/hot-100/2020-03-21
13996,Slide,H.E.R. Featuring YG,2020-03-21,61,0,0,0,0,SlideH.E.R. Featuring YG,https://www.billboard.com/charts/hot-100/2020-03-21
13997,BEST ON EARTH,Russ & BIA,2020-03-21,62,0,0,0,0,BEST ON EARTHRuss & BIA,https://www.billboard.com/charts/hot-100/2020-03-21
13998,What A Man Gotta Do,Jonas Brothers,2020-03-21,63,0,0,0,0,What A Man Gotta DoJonas Brothers,https://www.billboard.com/charts/hot-100/2020-03-21
13999,Emotionally Scarred,Lil Baby,2020-03-21,64,0,0,0,0,Emotionally ScarredLil Baby,https://www.billboard.com/charts/hot-100/2020-03-21
14000,Happiness Over Everything (H.O.E.),Jhene Aiko Featuring Future & Miguel,2020-03-21,65,0,0,0,0,Happiness Over Everything (H.O.E.)Jhene Aiko Featuring Future & Miguel,https://www.billboard.com/charts/hot-100/2020-03-21
14001,Vete,Bad Bunny,2020-03-21,66,0,0,0,0,VeteBad Bunny,https://www.billboard.com/charts/hot-100/2020-03-21
14002,Yummy,Justin Bieber,2020-03-21,67,0,0,0,0,YummyJustin Bieber,https://www.billboard.com/charts/hot-100/2020-03-21
14003,Commercial,Lil Baby Featuring Lil Uzi Vert,2020-03-21,68,0,0,0,0,CommercialLil Baby Featuring Lil Uzi Vert,https://www.billboard.com/charts/hot-100/2020-03-21
14004,Nobody But You,Blake Shelton Duet With Gwen Stefani,2020-03-21,69,0,0,0,0,Nobody But YouBlake Shelton Duet With Gwen Stefani,https://www.billboard.com/charts/hot-100/2020-03-21
14005,Chasin' You,Morgan Wallen,2020-03-21,70,0,0,0,0,Chasin' YouMorgan Wallen,https://www.billboard.com/charts/hot-100/2020-03-21
14006,Juicy,Doja Cat & Tyga,2020-03-21,71,0,0,0,0,JuicyDoja Cat & Tyga,https://www.billboard.com/charts/hot-100/2020-03-21
14007,Secure The Bag,Lil Uzi Vert,2020-03-21,72,0,0,0,0,Secure The BagLil Uzi Vert,https://www.billboard.com/charts/hot-100/2020-03-21
14008,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-03-21,73,0,0,0,0,"Whats PoppinJack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",https://www.billboard.com/charts/hot-100/2020-03-21
14009,Captain Hook,Megan Thee Stallion,2020-03-21,74,0,0,0,0,Captain HookMegan Thee Stallion,https://www.billboard.com/charts/hot-100/2020-03-21
14010,Tusa,Karol G & Nicki Minaj,2020-03-21,75,0,0,0,0,TusaKarol G & Nicki Minaj,https://www.billboard.com/charts/hot-100/2020-03-21
14011,Urgency,Lil Uzi Vert Featuring Syd,2020-03-21,76,0,0,0,0,UrgencyLil Uzi Vert Featuring Syd,https://www.billboard.com/charts/hot-100/2020-03-21
14012,Slow Dance In A Parking Lot,Jordan Davis,2020-03-21,77,0,0,0,0,Slow Dance In A Parking LotJordan Davis,https://www.billboard.com/charts/hot-100/2020-03-21
14013,What She Wants Tonight,Luke Bryan,2020-03-21,78,0,0,0,0,What She Wants TonightLuke Bryan,https://www.billboard.com/charts/hot-100/2020-03-21
14014,SkyBox,Gunna,2020-03-21,79,0,0,0,0,SkyBoxGunna,https://www.billboard.com/charts/hot-100/2020-03-21
14015,The Other Side,SZA X Justin Timberlake,2020-03-21,80,0,0,0,0,The Other SideSZA X Justin Timberlake,https://www.billboard.com/charts/hot-100/2020-03-21
14016,We Back,Jason Aldean,2020-03-21,81,0,0,0,0,We BackJason Aldean,https://www.billboard.com/charts/hot-100/2020-03-21
14017,I Wish Grandpas Never Died,Riley Green,2020-03-21,82,0,0,0,0,I Wish Grandpas Never DiedRiley Green,https://www.billboard.com/charts/hot-100/2020-03-21
14018,Ignorantes,Bad Bunny & Sech,2020-03-21,83,0,0,0,0,IgnorantesBad Bunny & Sech,https://www.billboard.com/charts/hot-100/2020-03-21
14019,Safaera,"Bad Bunny, Jowell & Randy & Nengo Flow",2020-03-21,84,0,0,0,0,"SafaeraBad Bunny, Jowell & Randy & Nengo Flow",https://www.billboard.com/charts/hot-100/2020-03-21
14020,More Hearts Than Mine,Ingrid Andress,2020-03-21,85,0,0,0,0,More Hearts Than MineIngrid Andress,https://www.billboard.com/charts/hot-100/2020-03-21
14021,Catch,Brett Young,2020-03-21,86,0,0,0,0,CatchBrett Young,https://www.billboard.com/charts/hot-100/2020-03-21
14022,Triggered,Jhene Aiko,2020-03-21,87,0,0,0,0,TriggeredJhene Aiko,https://www.billboard.com/charts/hot-100/2020-03-21
14023,PTSD,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",2020-03-21,88,0,0,0,0,"PTSDG Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",https://www.billboard.com/charts/hot-100/2020-03-21
14024,Oprah's Bank Account,"Lil Yachty, Drake & DaBaby",2020-03-21,89,0,0,0,0,"Oprah's Bank AccountLil Yachty, Drake & DaBaby",https://www.billboard.com/charts/hot-100/2020-03-21
14025,Go Stupid,Polo G Featuring NLE Choppa & Stunna 4 Vegas,2020-03-21,90,0,0,0,0,Go StupidPolo G Featuring NLE Choppa & Stunna 4 Vegas,https://www.billboard.com/charts/hot-100/2020-03-21
14026,I Hope You're Happy Now,Carly Pearce & Lee Brice,2020-03-21,91,0,0,0,0,I Hope You're Happy NowCarly Pearce & Lee Brice,https://www.billboard.com/charts/hot-100/2020-03-21
14027,La Santa,Bad Bunny X Daddy Yankee,2020-03-21,92,0,0,0,0,La SantaBad Bunny X Daddy Yankee,https://www.billboard.com/charts/hot-100/2020-03-21
14028,None Of Your Concern,Jhene Aiko Featuring Big Sean,2020-03-21,93,0,0,0,0,None Of Your ConcernJhene Aiko Featuring Big Sean,https://www.billboard.com/charts/hot-100/2020-03-21
14029,Know Your Worth,Khalid x Disclosure,2020-03-21,94,0,0,0,0,Know Your WorthKhalid x Disclosure,https://www.billboard.com/charts/hot-100/2020-03-21
14030,SUGAR,BrockHampton,2020-03-21,95,0,0,0,0,SUGARBrockHampton,https://www.billboard.com/charts/hot-100/2020-03-21
14031,To Die For,Sam Smith,2020-03-21,96,0,0,0,0,To Die ForSam Smith,https://www.billboard.com/charts/hot-100/2020-03-21
14032,Yo Perreo Sola,Bad Bunny,2020-03-21,97,0,0,0,0,Yo Perreo SolaBad Bunny,https://www.billboard.com/charts/hot-100/2020-03-21
14033,Grace,Lil Baby & 42 Dugg,2020-03-21,98,0,0,0,0,GraceLil Baby & 42 Dugg,https://www.billboard.com/charts/hot-100/2020-03-21
14034,Sunday Best,Surfaces,2020-03-21,99,0,0,0,0,Sunday BestSurfaces,https://www.billboard.com/charts/hot-100/2020-03-21
14035,After Hours,The Weeknd,2020-03-21,100,0,0,0,0,After HoursThe Weeknd,https://www.billboard.com/charts/hot-100/2020-03-21
14036,The Box,Roddy Ricch,2020-03-14,1,0,0,0,0,The BoxRoddy Ricch,https://www.billboard.com/charts/hot-100/2020-03-14
14037,Life Is Good,Future Featuring Drake,2020-03-14,2,0,0,0,0,Life Is GoodFuture Featuring Drake,https://www.billboard.com/charts/hot-100/2020-03-14
14038,Don't Start Now,Dua Lipa,2020-03-14,3,0,0,0,0,Don't Start NowDua Lipa,https://www.billboard.com/charts/hot-100/2020-03-14
14039,Circles,Post Malone,2020-03-14,4,0,0,0,0,CirclesPost Malone,https://www.billboard.com/charts/hot-100/2020-03-14
14040,Stupid Love,Lady Gaga,2020-03-14,5,0,0,0,0,Stupid LoveLady Gaga,https://www.billboard.com/charts/hot-100/2020-03-14
14041,Roxanne,Arizona Zervas,2020-03-14,6,0,0,0,0,RoxanneArizona Zervas,https://www.billboard.com/charts/hot-100/2020-03-14
14042,Blinding Lights,The Weeknd,2020-03-14,7,0,0,0,0,Blinding LightsThe Weeknd,https://www.billboard.com/charts/hot-100/2020-03-14
14043,Dance Monkey,Tones And I,2020-03-14,8,0,0,0,0,Dance MonkeyTones And I,https://www.billboard.com/charts/hot-100/2020-03-14
14044,Memories,Maroon 5,2020-03-14,9,0,0,0,0,MemoriesMaroon 5,https://www.billboard.com/charts/hot-100/2020-03-14
14045,Intentions,Justin Bieber Featuring Quavo,2020-03-14,10,0,0,0,0,IntentionsJustin Bieber Featuring Quavo,https://www.billboard.com/charts/hot-100/2020-03-14
14046,Someone You Loved,Lewis Capaldi,2020-03-14,11,0,0,0,0,Someone You LovedLewis Capaldi,https://www.billboard.com/charts/hot-100/2020-03-14
14047,Everything I Wanted,Billie Eilish,2020-03-14,12,0,0,0,0,Everything I WantedBillie Eilish,https://www.billboard.com/charts/hot-100/2020-03-14
14048,Hot Girl Bummer,blackbear,2020-03-14,13,0,0,0,0,Hot Girl Bummerblackbear,https://www.billboard.com/charts/hot-100/2020-03-14
14049,Adore You,Harry Styles,2020-03-14,14,0,0,0,0,Adore YouHarry Styles,https://www.billboard.com/charts/hot-100/2020-03-14
14050,Woah,Lil Baby,2020-03-14,15,0,0,0,0,WoahLil Baby,https://www.billboard.com/charts/hot-100/2020-03-14
14051,Say So,Doja Cat Featuring Nicki Minaj,2020-03-14,16,0,0,0,0,Say SoDoja Cat Featuring Nicki Minaj,https://www.billboard.com/charts/hot-100/2020-03-14
14052,Heartless,The Weeknd,2020-03-14,17,0,0,0,0,HeartlessThe Weeknd,https://www.billboard.com/charts/hot-100/2020-03-14
14053,Heatin Up,Lil Baby & Gunna,2020-03-14,18,0,0,0,0,Heatin UpLil Baby & Gunna,https://www.billboard.com/charts/hot-100/2020-03-14
14054,The Bones,Maren Morris,2020-03-14,19,0,0,0,0,The BonesMaren Morris,https://www.billboard.com/charts/hot-100/2020-03-14
14055,"10,000 Hours",Dan + Shay & Justin Bieber,2020-03-14,20,0,0,0,0,"10,000 HoursDan + Shay & Justin Bieber",https://www.billboard.com/charts/hot-100/2020-03-14
14056,That Way,Lil Uzi Vert,2020-03-14,21,0,0,0,0,That WayLil Uzi Vert,https://www.billboard.com/charts/hot-100/2020-03-14
14057,Ballin',Mustard & Roddy Ricch,2020-03-14,22,0,0,0,0,Ballin'Mustard & Roddy Ricch,https://www.billboard.com/charts/hot-100/2020-03-14
14058,Commercial,Lil Baby Featuring Lil Uzi Vert,2020-03-14,23,0,0,0,0,CommercialLil Baby Featuring Lil Uzi Vert,https://www.billboard.com/charts/hot-100/2020-03-14
14059,BOP,DaBaby,2020-03-14,24,0,0,0,0,BOPDaBaby,https://www.billboard.com/charts/hot-100/2020-03-14
14060,My Oh My,Camila Cabello Featuring DaBaby,2020-03-14,25,0,0,0,0,My Oh MyCamila Cabello Featuring DaBaby,https://www.billboard.com/charts/hot-100/2020-03-14
14061,Sum 2 Prove,Lil Baby,2020-03-14,26,0,0,0,0,Sum 2 ProveLil Baby,https://www.billboard.com/charts/hot-100/2020-03-14
14062,Lose You To Love Me,Selena Gomez,2020-03-14,27,0,0,0,0,Lose You To Love MeSelena Gomez,https://www.billboard.com/charts/hot-100/2020-03-14
14063,Live Off My Closet,Lil Baby Featuring Future,2020-03-14,28,0,0,0,0,Live Off My ClosetLil Baby Featuring Future,https://www.billboard.com/charts/hot-100/2020-03-14
14064,You Should Be Sad,Halsey,2020-03-14,29,0,0,0,0,You Should Be SadHalsey,https://www.billboard.com/charts/hot-100/2020-03-14
14065,High Fashion,Roddy Ricch Featuring Mustard,2020-03-14,30,0,0,0,0,High FashionRoddy Ricch Featuring Mustard,https://www.billboard.com/charts/hot-100/2020-03-14
14066,Emotionally Scarred,Lil Baby,2020-03-14,31,0,0,0,0,Emotionally ScarredLil Baby,https://www.billboard.com/charts/hot-100/2020-03-14
14067,Si Veo A Tu Mama,Bad Bunny,2020-03-14,32,0,0,0,0,Si Veo A Tu MamaBad Bunny,https://www.billboard.com/charts/hot-100/2020-03-14
14068,La Dificil,Bad Bunny,2020-03-14,33,0,0,0,0,La DificilBad Bunny,https://www.billboard.com/charts/hot-100/2020-03-14
14069,Falling,Trevor Daniel,2020-03-14,34,0,0,0,0,FallingTrevor Daniel,https://www.billboard.com/charts/hot-100/2020-03-14
14070,Good As Hell,Lizzo,2020-03-14,35,0,0,0,0,Good As HellLizzo,https://www.billboard.com/charts/hot-100/2020-03-14
14071,Vete,Bad Bunny,2020-03-14,36,0,0,0,0,VeteBad Bunny,https://www.billboard.com/charts/hot-100/2020-03-14
14072,No Guidance,Chris Brown Featuring Drake,2020-03-14,37,0,0,0,0,No GuidanceChris Brown Featuring Drake,https://www.billboard.com/charts/hot-100/2020-03-14
14073,PTSD,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",2020-03-14,38,0,0,0,0,"PTSDG Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",https://www.billboard.com/charts/hot-100/2020-03-14
14074,Homesick,Kane Brown,2020-03-14,39,0,0,0,0,HomesickKane Brown,https://www.billboard.com/charts/hot-100/2020-03-14
14075,Yummy,Justin Bieber,2020-03-14,40,0,0,0,0,YummyJustin Bieber,https://www.billboard.com/charts/hot-100/2020-03-14
14076,What A Man Gotta Do,Jonas Brothers,2020-03-14,41,0,0,0,0,What A Man Gotta DoJonas Brothers,https://www.billboard.com/charts/hot-100/2020-03-14
14077,Godzilla,Eminem Featuring Juice WRLD,2020-03-14,42,0,0,0,0,GodzillaEminem Featuring Juice WRLD,https://www.billboard.com/charts/hot-100/2020-03-14
14078,Senorita,Shawn Mendes & Camila Cabello,2020-03-14,43,0,0,0,0,SenoritaShawn Mendes & Camila Cabello,https://www.billboard.com/charts/hot-100/2020-03-14
14079,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,2020-03-14,44,0,0,0,0,RITMO (Bad Boys For Life)Black Eyed Peas X J Balvin,https://www.billboard.com/charts/hot-100/2020-03-14
14080,Bad Guy,Billie Eilish,2020-03-14,45,0,0,0,0,Bad GuyBillie Eilish,https://www.billboard.com/charts/hot-100/2020-03-14
14081,Kinfolks,Sam Hunt,2020-03-14,46,0,0,0,0,KinfolksSam Hunt,https://www.billboard.com/charts/hot-100/2020-03-14
14082,Dior,Pop Smoke,2020-03-14,47,0,0,0,0,DiorPop Smoke,https://www.billboard.com/charts/hot-100/2020-03-14
14083,Grace,Lil Baby & 42 Dugg,2020-03-14,48,0,0,0,0,GraceLil Baby & 42 Dugg,https://www.billboard.com/charts/hot-100/2020-03-14
14084,Ignorantes,Bad Bunny & Sech,2020-03-14,49,0,0,0,0,IgnorantesBad Bunny & Sech,https://www.billboard.com/charts/hot-100/2020-03-14
14085,One Man Band,Old Dominion,2020-03-14,50,0,0,0,0,One Man BandOld Dominion,https://www.billboard.com/charts/hot-100/2020-03-14
14086,I Hope,Gabby Barrett Featuring Charlie Puth,2020-03-14,51,0,0,0,0,I HopeGabby Barrett Featuring Charlie Puth,https://www.billboard.com/charts/hot-100/2020-03-14
14087,Blueberry Faygo,Lil Mosey,2020-03-14,52,0,0,0,0,Blueberry FaygoLil Mosey,https://www.billboard.com/charts/hot-100/2020-03-14
14088,La Santa,Bad Bunny X Daddy Yankee,2020-03-14,53,0,0,0,0,La SantaBad Bunny X Daddy Yankee,https://www.billboard.com/charts/hot-100/2020-03-14
14089,Get Ugly,Lil Baby,2020-03-14,54,0,0,0,0,Get UglyLil Baby,https://www.billboard.com/charts/hot-100/2020-03-14
14090,Heart On Ice,Rod Wave,2020-03-14,55,0,0,0,0,Heart On IceRod Wave,https://www.billboard.com/charts/hot-100/2020-03-14
14091,Slide,H.E.R. Featuring YG,2020-03-14,56,0,0,0,0,SlideH.E.R. Featuring YG,https://www.billboard.com/charts/hot-100/2020-03-14
14092,Juicy,Doja Cat & Tyga,2020-03-14,57,0,0,0,0,JuicyDoja Cat & Tyga,https://www.billboard.com/charts/hot-100/2020-03-14
14093,No Sucker,Lil Baby & Moneybagg Yo,2020-03-14,58,0,0,0,0,No SuckerLil Baby & Moneybagg Yo,https://www.billboard.com/charts/hot-100/2020-03-14
14094,How,Lil Baby,2020-03-14,59,0,0,0,0,HowLil Baby,https://www.billboard.com/charts/hot-100/2020-03-14
14095,BEST ON EARTH,Russ & BIA,2020-03-14,60,0,0,0,0,BEST ON EARTHRuss & BIA,https://www.billboard.com/charts/hot-100/2020-03-14
14096,The Other Side,SZA X Justin Timberlake,2020-03-14,61,0,0,0,0,The Other SideSZA X Justin Timberlake,https://www.billboard.com/charts/hot-100/2020-03-14
14097,Tusa,Karol G & Nicki Minaj,2020-03-14,62,0,0,0,0,TusaKarol G & Nicki Minaj,https://www.billboard.com/charts/hot-100/2020-03-14
14098,Pero Ya No,Bad Bunny,2020-03-14,63,0,0,0,0,Pero Ya NoBad Bunny,https://www.billboard.com/charts/hot-100/2020-03-14
14099,Forever,Lil Baby Featuring Lil Wayne,2020-03-14,64,0,0,0,0,ForeverLil Baby Featuring Lil Wayne,https://www.billboard.com/charts/hot-100/2020-03-14
14100,Go Stupid,Polo G Featuring NLE Choppa & Stunna 4 Vegas,2020-03-14,65,0,0,0,0,Go StupidPolo G Featuring NLE Choppa & Stunna 4 Vegas,https://www.billboard.com/charts/hot-100/2020-03-14
14101,After Hours,The Weeknd,2020-03-14,66,0,0,0,0,After HoursThe Weeknd,https://www.billboard.com/charts/hot-100/2020-03-14
14102,Nobody But You,Blake Shelton Duet With Gwen Stefani,2020-03-14,67,0,0,0,0,Nobody But YouBlake Shelton Duet With Gwen Stefani,https://www.billboard.com/charts/hot-100/2020-03-14
14103,ON,BTS,2020-03-14,68,0,0,0,0,ONBTS,https://www.billboard.com/charts/hot-100/2020-03-14
14104,Yo Perreo Sola,Bad Bunny,2020-03-14,69,0,0,0,0,Yo Perreo SolaBad Bunny,https://www.billboard.com/charts/hot-100/2020-03-14
14105,Homemade,Jake Owen,2020-03-14,70,0,0,0,0,HomemadeJake Owen,https://www.billboard.com/charts/hot-100/2020-03-14
14106,Chasin' You,Morgan Wallen,2020-03-14,71,0,0,0,0,Chasin' YouMorgan Wallen,https://www.billboard.com/charts/hot-100/2020-03-14
14107,What She Wants Tonight,Luke Bryan,2020-03-14,72,0,0,0,0,What She Wants TonightLuke Bryan,https://www.billboard.com/charts/hot-100/2020-03-14
14108,Lil Top,YoungBoy Never Broke Again,2020-03-14,73,0,0,0,0,Lil TopYoungBoy Never Broke Again,https://www.billboard.com/charts/hot-100/2020-03-14
14109,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-03-14,74,0,0,0,0,"Whats PoppinJack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",https://www.billboard.com/charts/hot-100/2020-03-14
14110,Slow Dance In A Parking Lot,Jordan Davis,2020-03-14,75,0,0,0,0,Slow Dance In A Parking LotJordan Davis,https://www.billboard.com/charts/hot-100/2020-03-14
14111,Numbers,"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",2020-03-14,76,0,0,0,0,"NumbersA Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",https://www.billboard.com/charts/hot-100/2020-03-14
14112,More Hearts Than Mine,Ingrid Andress,2020-03-14,77,0,0,0,0,More Hearts Than MineIngrid Andress,https://www.billboard.com/charts/hot-100/2020-03-14
14113,Same Thing,Lil Baby,2020-03-14,78,0,0,0,0,Same ThingLil Baby,https://www.billboard.com/charts/hot-100/2020-03-14
14114,We Back,Jason Aldean,2020-03-14,79,0,0,0,0,We BackJason Aldean,https://www.billboard.com/charts/hot-100/2020-03-14
14115,Make Me Want To,Jimmie Allen,2020-03-14,80,0,0,0,0,Make Me Want ToJimmie Allen,https://www.billboard.com/charts/hot-100/2020-03-14
14116,Safaera,"Bad Bunny, Jowell & Randy & Nengo Flow",2020-03-14,81,0,0,0,0,"SafaeraBad Bunny, Jowell & Randy & Nengo Flow",https://www.billboard.com/charts/hot-100/2020-03-14
14117,Moral Of The Story,Ashe Featuring Niall Horan,2020-03-14,82,0,0,0,0,Moral Of The StoryAshe Featuring Niall Horan,https://www.billboard.com/charts/hot-100/2020-03-14
14118,I Wish Grandpas Never Died,Riley Green,2020-03-14,83,0,0,0,0,I Wish Grandpas Never DiedRiley Green,https://www.billboard.com/charts/hot-100/2020-03-14
14119,To Die For,Sam Smith,2020-03-14,84,0,0,0,0,To Die ForSam Smith,https://www.billboard.com/charts/hot-100/2020-03-14
14120,The Man,Taylor Swift,2020-03-14,85,0,0,0,0,The ManTaylor Swift,https://www.billboard.com/charts/hot-100/2020-03-14
14121,Know Your Worth,Khalid x Disclosure,2020-03-14,86,0,0,0,0,Know Your WorthKhalid x Disclosure,https://www.billboard.com/charts/hot-100/2020-03-14
14122,Catch,Brett Young,2020-03-14,87,0,0,0,0,CatchBrett Young,https://www.billboard.com/charts/hot-100/2020-03-14
14123,I Hope You're Happy Now,Carly Pearce & Lee Brice,2020-03-14,88,0,0,0,0,I Hope You're Happy NowCarly Pearce & Lee Brice,https://www.billboard.com/charts/hot-100/2020-03-14
14124,Bichiyal,Bad Bunny & Yaviah,2020-03-14,89,0,0,0,0,BichiyalBad Bunny & Yaviah,https://www.billboard.com/charts/hot-100/2020-03-14
14125,Out West,JACKBOYS Featuring Young Thug,2020-03-14,90,0,0,0,0,Out WestJACKBOYS Featuring Young Thug,https://www.billboard.com/charts/hot-100/2020-03-14
14126,We Should,Lil Baby & Young Thug,2020-03-14,91,0,0,0,0,We ShouldLil Baby & Young Thug,https://www.billboard.com/charts/hot-100/2020-03-14
14127,Make No Sense,YoungBoy Never Broke Again,2020-03-14,92,0,0,0,0,Make No SenseYoungBoy Never Broke Again,https://www.billboard.com/charts/hot-100/2020-03-14
14128,Suicidal,YNW Melly & Juice WRLD,2020-03-14,93,0,0,0,0,SuicidalYNW Melly & Juice WRLD,https://www.billboard.com/charts/hot-100/2020-03-14
14129,Solia,Bad Bunny,2020-03-14,94,0,0,0,0,SoliaBad Bunny,https://www.billboard.com/charts/hot-100/2020-03-14
14130,Before You Go,Lewis Capaldi,2020-03-14,95,0,0,0,0,Before You GoLewis Capaldi,https://www.billboard.com/charts/hot-100/2020-03-14
14131,No Time To Die,Billie Eilish,2020-03-14,96,0,0,0,0,No Time To DieBillie Eilish,https://www.billboard.com/charts/hot-100/2020-03-14
14132,Esta Cabron Ser Yo,Bad Bunny X Anuel AA,2020-03-14,97,0,0,0,0,Esta Cabron Ser YoBad Bunny X Anuel AA,https://www.billboard.com/charts/hot-100/2020-03-14
14133,Sunday Best,Surfaces,2020-03-14,98,0,0,0,0,Sunday BestSurfaces,https://www.billboard.com/charts/hot-100/2020-03-14
14134,Can't Explain,Lil Baby,2020-03-14,99,0,0,0,0,Can't ExplainLil Baby,https://www.billboard.com/charts/hot-100/2020-03-14
14135,P*$$y Fairy (OTW),Jhene Aiko,2020-03-14,100,0,0,0,0,P*$$y Fairy (OTW)Jhene Aiko,https://www.billboard.com/charts/hot-100/2020-03-14
14136,The Box,Roddy Ricch,2020-03-07,1,0,0,0,0,The BoxRoddy Ricch,https://www.billboard.com/charts/hot-100/2020-03-07
14137,Life Is Good,Future Featuring Drake,2020-03-07,2,0,0,0,0,Life Is GoodFuture Featuring Drake,https://www.billboard.com/charts/hot-100/2020-03-07
14138,Circles,Post Malone,2020-03-07,3,0,0,0,0,CirclesPost Malone,https://www.billboard.com/charts/hot-100/2020-03-07
14139,ON,BTS,2020-03-07,4,0,0,0,0,ONBTS,https://www.billboard.com/charts/hot-100/2020-03-07
14140,Don't Start Now,Dua Lipa,2020-03-07,5,0,0,0,0,Don't Start NowDua Lipa,https://www.billboard.com/charts/hot-100/2020-03-07
14141,Roxanne,Arizona Zervas,2020-03-07,6,0,0,0,0,RoxanneArizona Zervas,https://www.billboard.com/charts/hot-100/2020-03-07
14142,Dance Monkey,Tones And I,2020-03-07,7,0,0,0,0,Dance MonkeyTones And I,https://www.billboard.com/charts/hot-100/2020-03-07
14143,Blinding Lights,The Weeknd,2020-03-07,8,0,0,0,0,Blinding LightsThe Weeknd,https://www.billboard.com/charts/hot-100/2020-03-07
14144,Memories,Maroon 5,2020-03-07,9,0,0,0,0,MemoriesMaroon 5,https://www.billboard.com/charts/hot-100/2020-03-07
14145,Someone You Loved,Lewis Capaldi,2020-03-07,10,0,0,0,0,Someone You LovedLewis Capaldi,https://www.billboard.com/charts/hot-100/2020-03-07
14146,Intentions,Justin Bieber Featuring Quavo,2020-03-07,11,0,0,0,0,IntentionsJustin Bieber Featuring Quavo,https://www.billboard.com/charts/hot-100/2020-03-07
14147,Everything I Wanted,Billie Eilish,2020-03-07,12,0,0,0,0,Everything I WantedBillie Eilish,https://www.billboard.com/charts/hot-100/2020-03-07
14148,Heartless,The Weeknd,2020-03-07,13,0,0,0,0,HeartlessThe Weeknd,https://www.billboard.com/charts/hot-100/2020-03-07
14149,Hot Girl Bummer,blackbear,2020-03-07,14,0,0,0,0,Hot Girl Bummerblackbear,https://www.billboard.com/charts/hot-100/2020-03-07
14150,Adore You,Harry Styles,2020-03-07,15,0,0,0,0,Adore YouHarry Styles,https://www.billboard.com/charts/hot-100/2020-03-07
14151,"10,000 Hours",Dan + Shay & Justin Bieber,2020-03-07,16,0,0,0,0,"10,000 HoursDan + Shay & Justin Bieber",https://www.billboard.com/charts/hot-100/2020-03-07
14152,Ballin',Mustard & Roddy Ricch,2020-03-07,17,0,0,0,0,Ballin'Mustard & Roddy Ricch,https://www.billboard.com/charts/hot-100/2020-03-07
14153,BOP,DaBaby,2020-03-07,18,0,0,0,0,BOPDaBaby,https://www.billboard.com/charts/hot-100/2020-03-07
14154,The Bones,Maren Morris,2020-03-07,19,0,0,0,0,The BonesMaren Morris,https://www.billboard.com/charts/hot-100/2020-03-07
14155,After Hours,The Weeknd,2020-03-07,20,0,0,0,0,After HoursThe Weeknd,https://www.billboard.com/charts/hot-100/2020-03-07
14156,Lose You To Love Me,Selena Gomez,2020-03-07,21,0,0,0,0,Lose You To Love MeSelena Gomez,https://www.billboard.com/charts/hot-100/2020-03-07
14157,My Oh My,Camila Cabello Featuring DaBaby,2020-03-07,22,0,0,0,0,My Oh MyCamila Cabello Featuring DaBaby,https://www.billboard.com/charts/hot-100/2020-03-07
14158,Yummy,Justin Bieber,2020-03-07,23,0,0,0,0,YummyJustin Bieber,https://www.billboard.com/charts/hot-100/2020-03-07
14159,Woah,Lil Baby,2020-03-07,24,0,0,0,0,WoahLil Baby,https://www.billboard.com/charts/hot-100/2020-03-07
